Title,release_year,IMDb
Coffee with D,2017,4.4
Coin Heist,2017,4.8
Cop and a Half: New Recruit,2017,5.3
Counterpunch,2017,4.8
Cult of Chucky,2017,5.2
Daffedar,2017,5.9
Daniel Sosa: Sosafado,2017,5.3
Death Race: Beyond Anarchy,2017,5.2
Deep,2017,4.1
Dragonheart: Battle for the Heartfire,2017,5.3
Dream Boat,2017,5.4
DreamWorks Home: For the Holidays,2017,4.8
"Edmilson Filho: Notas, Comedy about Relationships",2017,5.8
El Camino Christmas,2017,5.7
Expedition Happiness,2017,5.9
Fabrizio Copano: Solo pienso en mi,2017,4.9
Farce,2017,5.3
Felipe Neto: My Life Makes No Sense,2017,4.4
Finally Found Someone,2017,5.7
First Kill,2017,5
Follow Me,2017,5
Fun Mom Dinner,2017,5.2
Girlfriend's Day,2017,5.2
Grass,2017,4.7
Grillo vs Grillo,2017,4.7
Half Girlfriend,2017,4.3
Handsome: A Netflix Mystery Movie,2017,5.2
Hangman,2017,5.2
Heartthrob,2017,5.5
History of Joy,2017,5.5
Holy Goalie,2017,5.2
House of the Witch,2017,4.8
How to Be a Latin Lover,2017,5.9
Invisible,2017,6
Jab Harry Met Sejal,2017,5.3
Jailbreak,2017,5.4
Kanika,2017,4.7
Kickboxer: Retaliation,2017,5
Kings,2017,5
Krystal,2017,5.4
Lechmi,2017,4.9
Liberated: The New Sexual Revolution,2017,6
Little Evil,2017,5.7
Loco Love,2017,5.2
"Love, Surreal and Odd",2017,5.7
Lucas Brothers: On Drugs,2017,5.5
Mandobasar Galpo,2017,6
Mantra,2017,5.2
Mara,2017,5.1
Maria Bamford: Old Baby,2017,5.9
Mater,2017,4.5
Meet the Trumps: From Immigrant to President,2017,4.7
Michael Lost and Found,2017,5.2
Misfit,2017,4.3
Mohawk,2017,4.5
Monster Island,2017,4.8
Mubarakan,2017,5.6
Naked,2017,5.4
Orbiter 9,2017,5.9
Oversize Cops,2017,5.9
Pickpockets,2017,5.3
"Pop, Lock 'n Roll",2017,5.8
Poster Boys,2017,5.5
Pottersville,2017,5.4
Pup Star: Better 2Gether,2017,4.7
Puss in Book: Trapped in an Epic Tale,2017,5.3
Rangoon,2017,5.7
Rangreza,2017,5.4
Rip Tide,2017,5.5
Rodney King,2017,5.5
Room for Rent,2017,5.4
Sahara,2017,5.5
Samarppanam,2017,6
Sandy Wexler,2017,5.1
Sarvopari Palakkaran,2017,5
Sat Shri Akaal England,2017,5.3
Savage Dog,2017,4.9
Scales: Mermaids Are Real,2017,4.5
Simplemente Manu NNa,2017,5.1
Sinister Circle,2017,4.6
Slam,2017,5.9
Small Crimes,2017,5.8
Something Huge,2017,4.6
