Title,type,country,date_added,release_year,rating,description,IMDb,Genre
A Champion Heart,Movie,United States,2020-04-14,2018,G,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",5.3,Drama
A Christmas Prince,Movie,United States,2017-11-17,2017,TV-PG,Christmas comes early for an aspiring young journalist when she's sent abroad to get the scoop on a dashing prince who's poised to be king.,5.7,Drama
A Christmas Prince: The Royal Baby,Movie,United States,2019-12-05,2019,TV-PG,"Christmas brings the ultimate gift to Aldovia: a royal baby. But first, Queen Amber must save her family and kingdom by unwrapping a monarchy mystery.",5.3,Drama
A Christmas Prince: The Royal Wedding,Movie,United States,2018-11-30,2018,TV-PG,"A year after helping Richard secure the crown, Amber returns to Aldovia to plan their wedding. But her simple tastes clash with royal protocol.",5.2,Drama
A Cinderella Story: Christmas Wish,Movie,United States,2019-12-01,2019,PG,"Despite her vain stepmother and mean stepsisters, an aspiring singer works as an elf at a Christmas tree lot and finds her own holiday miracle.",5.2,Comedy
A Dangerous Woman,Movie,United States,2018-04-01,1993,R,"At the center of this engrossing melodrama is a Golden Globe-nominated turn by Debra Winger, who plays a sheltered, slow-witted woman living with her widowed Aunt Frances while working at a dry cleaners.",5.8,Drama
A Fairly Odd Summer,Movie,United States,2019-11-02,2014,TV-Y7,"In this live-action adventure, the gang heads to Hawaii, where Timmy learns the source of all fairy magic is in dangerous hands.",4.0,Comedy
A Family Affair,Movie,Netherlands,2016-10-16,2015,TV-PG,The filmmaker hunts for the missing puzzle pieces of his family history during a visit with a complex and controversial figure: his grandmother.,7.1,Documentaries
A Family Man,Movie,Canada,2019-12-15,2016,R,A ruthless corporate headhunter battles his rival for a promotion while dealing with a family crisis that threatens to derail his career.,6.5,Drama
A Flying Jatt,Movie,India,2017-11-15,2016,TV-14,A timid man gets unexpected superpowers while trying to save his family's land and a sacred tree from a ruthless tycoon.,3.1,Action & Adventure
A Fortunate Man,Movie,Denmark,2019-04-20,2018,TV-MA,"A gifted engineer flees his austere roots to pursue wealth and success among Copenhagen's elite, but the pride propelling him threatens to be his ruin.",7.2,Drama
A Futile and Stupid Gesture,Movie,United States,2018-01-26,2018,TV-MA,"In a brief life full of triumph and failure, ""National Lampoon"" co-founder Doug Kenney built a comedy empire, molding pop culture in the 1970s.",6.8,Comedy
A Ghost Story,Movie,United States,2020-01-07,2017,R,"Following a fatal car crash, a man's spirit remains stuck in the home he shared with his wife as doors into the past and future begin to open.",6.9,Drama
A Glimpse Inside the Mind of Charles Swan III,Movie,United States,2018-07-15,2012,R,"When his girlfriend walks out and leaves him a wreck, a graphic designer – who seemed to have it all – sets out to discover where he went wrong.",4.8,Comedy
A Grand Night In: The Story of Aardman,Movie,United Kingdom,2016-11-01,2015,TV-PG,"Aardman Animations icons Wallace & Gromit, Morph and more join fans and collaborators for a retrospective celebrating the studio's 40th anniversary.",7.6,Documentaries
A Gray State,Movie,United States,2017-12-25,2017,TV-MA,"This documentary dissects the case of a filmmaker whose death, along with the deaths of his wife and daughter, sparked alt-right conspiracy theories.",6.2,Documentaries
A Haunted House,Movie,United States,2020-02-21,2013,R,"This spoof on scary movies follows a young couple settling into a new home, where an evil spirit — and horrifyingly hilarious antics — await.",5.0,Comedy
A Haunting at Silver Falls: The Return,Movie,United States,2019-09-17,2019,TV-14,"When the ghost of her serial killer aunt seemingly resurfaces, Jordan must return to Silver Falls in hopes of finally putting an end to the torment.",3.2,Horror
A Heavy Heart,Movie,Germany,2017-02-15,2015,TV-MA,"Long past his heyday, a still-virile boxer tries to reconnect with his daughter as he confronts the onset of a terminal, degenerative neural disorder.",7.1,Drama
A Korean Odyssey,TV Show,South Korea,2019-03-05,2017,TV-MA,A self-serving mythical creature's bid for invincibility backfires when he finds himself at the mercy of a woman who can see otherworldly beings.,8.1,Romance
A Land Imagined,Movie,France,2019-04-13,2019,TV-MA,A cop in Singapore investigates the disappearance of a Chinese migrant construction worker who spent sleepless nights playing a mysterious video game.,6.3,Drama
A Leaf of Faith,Movie,United States,2018-08-27,2018,TV-MA,"This documentary takes a deep dive into the benefits, dangers and lingering questions around Kratom leaf as an alternative to opioid painkillers.",7.0,Documentaries
A Life of Speed: The Juan Manuel Fangio Story,Movie,Argentina,2020-03-20,2020,TV-14,"Juan Manuel Fangio was the Formula One king, winning five world championships in the early 1950s — before protective gear or safety features were used.",6.7,Documentaries
A Little Chaos,Movie,United Kingdom,2019-04-17,2014,R,"A willful young woman is hired to design a garden at Versailles for Louis XIV. Soon, she's ensnared in political and romantic complications.",6.5,Drama
A Little Help with Carol Burnett,TV Show,United States,2018-05-04,2018,TV-G,"Comedy icon Carol Burnett returns to TV with a panel of clever kids, who help adults and celebrity guests solve their problems with brutal honesty.",6.0,Comedy
A Love Story,Movie,Philippines,2019-03-14,2007,TV-14,"Self-made millionaire Ian thinks he's found happiness when he marries caring Joanna, but his love is put to the test when he meets stewardess Karyn.",6.5,Drama
A Man Called God,TV Show,South Korea,2019-03-12,2010,TV-14,"Raised in America, government agent Choi Kang-Ta returns to Korea with the skills of an assassin and a thirst for revenge on his father’s killers.",5.8,Crime
A Mighty Team,Movie,France,2016-10-15,2016,TV-MA,"When a fit of anger leads to a serious injury, a sidelined soccer star returns to his hometown and reluctantly agrees to train the local youth.",5.5,Comedy
A Most Violent Year,Movie,United Arab Emirates,2018-07-22,2014,R,Abel Morales tries to avoid corruption's easy path as he pursues the American Dream amid an increasingly violent business war in 1981 New York City.,7.0,Drama
A Night at the Roxbury,Movie,United States,2019-12-01,1998,PG-13,"After a run-in with Richard Grieco, dimwits Doug and Steve gain entry to a swanky nightclub in this comedy based on a ""Saturday Night Live"" sketch.",6.3,Comedy
A Perfect Ending,Movie,United States,2019-01-01,2012,TV-MA,"After confessing an unusual secret, a repressed wife – prompted by her friends – decides to explore her sexuality with a high-priced call girl.",5.7,Drama
A Perfect Man,Movie,United States,2019-06-06,2013,R,"Nina thinks her husband, James, is cheating on her, and she sets out to prove it by calling him and pretending to be another woman.",5.2,Drama
A Plastic Ocean,Movie,United Kingdom,2019-10-04,2016,TV-14,"When he discovers the world's oceans brimming with plastic waste, a documentary filmmaker investigates the pollution's environmental impacts.",8.0,Documentaries
A Remarkable Tale,Movie,Spain,2019-11-01,2019,TV-MA,"The residents of an isolated town look to revive their home's identity when a group of foreigners unexpectedly arrive, bringing culture shock with them.",5.2,Comedy
A Scandall,Movie,India,2017-10-15,2016,TV-MA,"A film school graduate is interested in making a movie about his girlfriend's uncle, who claims that he can see his long-dead daughter.",3.0,Thrillers
A Second Chance,Movie,Philippines,2019-02-27,2015,TV-MA,"Following their storybook wedding, Popoy and Basha find married life – and starting a business together – more challenging than they ever imagined.",7.1,Drama
A Secret Love,Movie,United States,2020-04-29,2020,TV-14,"Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges.",8.1,Documentaries
A Series of Unfortunate Events,TV Show,United States,2019-01-01,2019,TV-PG,"The extraordinary Baudelaire orphans face trials, tribulations and the evil Count Olaf in their fateful quest to unlock long-held family secrets.",7.8,Comedy
A Serious Man,Movie,United States,2018-01-16,2009,R,"With every aspect of his life unraveling, a Jewish physics professor seeks out three rabbis for spiritual guidance.",7.0,Comedy
A Shaun the Sheep Movie: Farmageddon,Movie,United Kingdom,2020-02-14,2020,G,Shaun and the flock race to help an adorable alien find her way home after her ship crash-lands near Mossy Bottom Farm and sparks a UFO frenzy.,6.9,Comedy
A Silent Voice,Movie,Japan,2019-06-05,2016,TV-14,A former class bully reaches out to the deaf girl he'd tormented in grade school. He feels unworthy of redemption but tries to make things right.,8.2,Anime
A Single Man,Movie,United States,2019-11-11,2009,R,This stream-of-consciousness drama centers on a day in the life of a gay college professor who's reeling from his longtime lover's recent death.,7.6,Drama
